genre,count
"Historical epic Historical",1
"two one-act Dramas One act",1
"physical theatre One act",1
"75-100 min Comedy",1
"short thriller",1
"Comedy musical Musical",1
"Childrens 1 act Youth audience",1
"70 min Play/Drama",1
"Youth Musical, 90 min Youth audience",1
"60 mins Comedy drama with puppetry",1
"2 acts T.I.e. Community Youth audience",1
"theme for Variations",1
"Romance One act",1
"Drama 120 min",1
"Full-length Musical",1
"Comedy - Drama - young people's theatre",1
"Monologue Play",1
"WIP",1
"Young people's Theatre , 70 min Youth audience",1
"avant-garde Drama, black comedy",1
"play adaptation",1
"Expressionistic Drama 90 min",1
"Musical adaptation",1
"Dramatic Cantata",1
"2-4 min Play/Drama",1
"Romantic comedy Comedy",1
"60 mins. Children's play. One act",1
"Satire / Comedy / adaptation / Parody (Steinbeck)",1
"ensemble",1
"Comedy farce Comedy. - - Gay, theme/character, full length",1
"Gay Musical Comedy. - - Gay/Lesbian, musical",1
"75-80 min Play/Drama. - - Gay/Lesbian, of interest",1
"political monologue",1
"political thriller",1
"Gay historical character full length",1
"30 min piece",1
"Tragi-Comedy",1
"Ironic Comedy Comedy",1
"0h 55m�Comedy Drama",1
"Full-Length 95 mins Play/Drama",1
"autobiographical",1
"Piece 120 min",1
"play for women One act",1
"10-15 min Dark comedy",1
"Farcical Fantasy",1
"stage to play, play scene",1
"one act 50 min",1
"musical parody Musical",1
"Tragedy. - - Gay/Lesbian, of interest",1
"Comedy One act. - - Gay, theme/character, one act",1
"1h 45m��Drama Comedy",1
"entertainment with music and politics",1
"comedy, new writing 1 hour",1
"Political theatre Play/Drama",1
"one minute play",1
"Agit Prop Play/drama",1
"14 playlets One act",1
"comedy whodunnit",1
"Musical Christmas Pantomime Musical One act",1
"Comedy Farce Comedy",1
"Short Drama One act",1
"one act 55 min",1
"65 min story telling",1
"solo storytelling 105 min",1
"Comedy Drama 1h 50m",1
"Collation",1
"60 min operetta",1
"Drama. - - Lesbian, full length 120 min",1
"Performance Piece Piece",1
"FringeJR Musical/Opera 1h 0m",1
"20 min piece",1
"musical comedy satire Musical",1
"Play - One act, Christmas Tale",1
"Unhistorical Parable 3 Act",1
"Crime Story 30 min One act",1
"Three-Short-Plays",1
"25-35 min Play/Drama",1
"15 min one act comedy",1
"one act plays",1
"Theater Mu, 2000)",1
"contemporary comedy 100 min",1
"90 min satire",1
"Drama Satire Comedy",1
"comedy, 30 minutes",1
"One act - ten minutes. - - Gay, one act",1
"Drama, Tragedy, 1 hour 15 minutes",1
"Gay theme/character full length",1
"one act 70 min",1
"Pageant in Six Pictures",1
"Poem",1
"Comedy, 70 min",1
"2-3 min Play/Drama",1
"absurd comedy Ten Min",1
"adventure Play/Drama",1
"Comedy - Young People Comedy",1
"agressive Soap Opera",1
"Reading, 100 min",1
"100-110 min Comedy/Drama",1
"Short play One act",1
"50 min",1
"Full Length Comedy/Drama",1
"one act TYA",1
"60 mins. Play for young people.",1
"Jump-Start New Play Series",1
"Shakespeare's lost Play Re-imagined",1
"Children's/Youth Musical",1
"Play/ Comedy",1
"45-55 min Comedy",1
"Thirteen minute play",1
"Sensational Drama",1
"0h 45m Solo Show Fringehigh",1
"historical ghost stories",1
"Skit/Comedy, 20-30 min Sketch",1
"sitcom-tragedy",1
"Comedy Sketch in 1 act Sketch",1
"Clowning",1
"piece 50 min",1
"TYA Sci Fi",1
"dark musical comedy",1
"Chamber Play One act",1
"piece 30 min",1
"One-act plays for Off-Broadway",1
"Scots Roadside Comedy-Drama",1
"5-7 min Play/Drama",1
"Political Thriller",1
"Tragi-comedy",1
"short late night revue One act",1
"Gay horror comedy. - - Gay, full length",1
"Play/comedy-Drama",1
"Expressionist Musical",1
"exercise in Diplomacy",1
"Children's Comedy, 30 min Youth audience",1
"Radio Script Play/Drama",1
"abstract / Surrealist Playlet",1
"Multi-Media Performance Art FringeHIGH 1h 30m",1
"25 min one act comedy",1
"triolgy of darkly comic, modern day fairy tales for grown ups",1
"comedy who done it",1
"Musical Review",1
"experimental theatre/performance art Piece",1
"summer panto",1
"Skit Sketch",1
"Drama FringeHIGH, 70 min Play/Drama",1
"Short-Play One act",1
"Libretto",1
"musical play in one act",1
"adaptation Musical",1
"Tragi-comedy, 100 min",1
"full length drama",1
"Tragi Comedy Tragedy",1
"adult Comedy",1
"90 min Piece",1
"Gay one act ten min",1
"1h 40m Drama FringeHIGH Comedy",1
"Youth Musical Youth audience",1
"Young audience",1
"Short Play Collection One act",1
"comedy 15 min",1
"light comedy Ten Min",1
"children's play Youth audience",1
"Scots Drama One act",1
"monlogue",1
"2 act (also radio version) Play/Drama",1
"One-man play",1
"Romantic Queer Drama. - - Gay, full length",1
"eight minute play",1
"Political extravagANZa",1
"Lesbian drama one act",1
"Drama - Lesbian full length ; Gay full length",1
"80-95 min Comedy",1
"adult comedy One act",1
"light, black comedy One act",1
"90-100 min Musical Comedy",1
"85-95 min Solo Drama",1
"musical thriller",1
"musical 40 min",1
"Work in progress",1
"Play/Drama For Young People",1
"60 min Musical",1
"100-105 min Post-apocalyptic comedy",1
"Comedy Musical Musical",1
"Contemporary drama 100 min. - - Gay/Lesbian, of interest",1
"Play for little kids",1
"Gay full length Comedy",1
"Fantasy Drama",1
"One act panto",1
"25-40 min Comedy/Drama",1
"Romantic Play In 1 act",1
"short musical Musical",1
"2h 0m musical",1
"2 act 120 mins Play/Drama",1
"3h 0m Comedy Improv/Sketch/Stand-up",1
"documentary drama",1
"Play - Gay full length",1
"Monologue Play, Drama",1
"10 min stage reading",1
"Musical play Musical",1
"a rock opera",1
"Drama / Comedy",1
"90 sec",1
"90-100 min Comedy",1
"Comedy / TIE for children (age 4 to 11)",1
"Play/Drama. - - aIDS, full length",1
"TYA 80 min",1
"Contemporary Social Comedy/Drama 120 min",1
"Full-length Dark Comedy",1
"Play - Full Length, Murder Mystery",1
"Rock Musical Musical",1
"Prose Version Of "l'alouette"",1
"70-75 min Holiday Classic",1
"18 min Drama One act",1
"95-105 min Play/Drama",1
"piece 75 min",1
"Pocket Revue",1
"Childrens' Show Youth audience",1
"10-12 min Play/Drama",1
"Piece 75 min",1
"Play/Drama 60 min",1
"one acts",1
"Comedy/Drama Comedy. - - Gay, theme/character, full length",1
"Theatre Of The absurd / Domestic Drama 30 min",1
