publisher,count
"Methuen Drama 2020",1
"Smith & Kraus in Humana Festival '96, the Complete Plays., -",1
"Samuel French, London, 1978 -",1
"Samuel French, NY, 1981 -",2
"Samuel French, London pol-517474",1
"Bloomsbury Methuen Drama, London (2014)",1
"Department of Performing arts, University of Ilorin, Nigeria., 2003 -",4
"Samuel French Inc, New York -",4
"Allen & Unwin -",1
"Signature Editions 2004 -",1
"in International Plays for Young audiences; Contemporary Works from Leading Playwrights, Meriweather Publishing, USA (2000)http://Australianplays.org/",1
"http://www.indietheaternow.com/Play/the-metamorphosis -",1
"Brooklyn Publishers, Tx, 2004. -",1
"Faber and Faber, London (acting edition: Samuel French, London, 2007), 2005",1
"(Scottish Plays No. 191). Brown, Son & Ferguson. N.D., -",1
"Dramatic Publishing Company",3
"Edinburgh University Student Publications, Edinburgh, 1975Fairplay Press, Edinburgh (2008)",1
"Faber & Faber; Main edition (1 Nov. 2012)",1
"Contained in: ""Girls' Talk - a Book of TwoOne act Plays For Women"" published by Play Maverick -",2
"New Plays Quarterly 69, Evans Bros Ltd, 1965 -",1
"Samuel French, London, 1982Faber and Faber Ltd, London (2010)",1
"chapbook form, Playwrights Canada Press,",1
"Pluto Press, London, 1977Capercaillie Books, Edinburgh",1
"New Theatre Publications, -",5
"Faber and Faber, London, 1985 -",1
"Youngsong Music, 1985. available from Music Sales and on-line at www.musicroom.com -",1
"Samuel French Inc New York",1
"Oxford University Press, 2003",1
"in ""Action Plans: Selected Performance Pieces by Action Hero"", Oberon Books (2015)",6
"Contained in: ""the Best Ten Minute Plays For Three Or More Actors"" published by Smith and Kraus 2008",1
"Contained in Dinosaur Plays published by TnT Classic Books -",3
"Brooklyn Publishing -",3
"Contained in: ""The Girl and the Snake and Other Short Plays"" published by Heinemann 1996",5
"Evans Bros, London, 1957 -",1
"http://www.amazon.co.uk/the-Beekeeper-ebook/dp/B00805O0HG/ref=sr_1_1?s=books&ie=UTF8&qid=&sr=1-1 -",1
"Contained in: ""the Face Of America"" published by University of Minnesota Press 2011",1
"Playlab Press, Australia -",2
"amuru Print, New York, 1973 -",1
"adaptation of ""God of Vengeance"" is available in the back of playwright's memoir, BEST REVENGE: How the Theater Saved My Life and Has Been Killing Me Ever Since",1
"Contained in: ""She always Liked Girls Best"" published by Third Side Press 1993",1
"Contained in ""Three Plays by Hebbel"" published by J M Dent, -",3
"Brooklyn Publishers, Tx, 2008 -",1
"Oberon Books (2017)",3
"Lazy Bee Scripts",1
"G. Gordon Shillingford Publishing (Scirocco Drama), 2003",1
"Plays 3, Faber, London, 2004 (Samuel French, London, acting edition, 2006), -",1
"Playscripts, Inc - New York",9
"Playscripts, Inc (2010) -",2
"Black Inside - 6 Indigenous plays from Victoria, Currency Press, Sydney, 2002 -",1
"Samuel French, London, 1990 -",2
"Script in the Hanger Collection, Fryer Library, University of Queensland, Australia. http://www.Austlit.edu.au , -",1
"Curlew, UK, 1976 -",1
"Josef Weinberger",1
"Playwrights Co-op, Toronto, 1998 -",1
"Samuel French, London, 2000",1
"Samuel French Ltd, London 1942",2
"Heinemanns, London, 1972",1
"Faith Printers International, Zaria, Nigeria. (2009) -",1
"the http://australianplays.org/ , 1991 -",1
"in Playworks Newsletter Vol 8 No1, 2001Brand Literary Magazine, University of Greenwich, 2008",1
"Farrar StrAus, New York, 1966 -",1
"Samuel French, NY, 1959 -",4
"Playlab Press, Australia, 2004 -",1
"in ""Plays 3"" Calder & Boyars, London, 1970",1
"in ""Detention #7: One Minute Plays"", http://www.indietheaternow.com/Plays -",2
"New Theatre Publications (2009)",2
"Contained in: ""Cuban Theater In The United States"" published by Bilingual Press 1992 -",1
"anderson House, Washington D C 1938 -",1
"Deane's Series of Plays, Kenyon-Deane, London, 1957 -",3
"(Scottish Plays No. 5). Brown, Son & Ferguson. N.D., -",1
"Contained in: ""the Bully Plays"" published by Dramatic Publishing Company -",1
"Playlab Press 1987 -",1
"Contained in: Canadian Theatre Review number 118"" Spring 2004 -",1
"In Return Engagement Vol 1, seniortheatre.com -",10
"Epworth Press, 1956 -",1
"Playwrights Co-op, Toronto, 2003 -",2
"(Scottish Plays No. 116). Brown, Son & Ferguson. N.D., -",1
"Universal Edition, Vienna -",1
"Lazy Bee Scripts, 2001 -",2
"Contained in: ""The Oresteia"" published by Penguin Books 1977",3
"French, London No 254, 1956",1
"Longmans Green 1927 -",1
"Contained in: ""New International Plays For Young audiences"" published by Merriweather 2002 -",1
"(One� act Plays No. 49). Frederick Muller Ltd, 1948 -",1
"Faber and Faber, London, 1997",1
"Currency Press, Sydney, 1989",1
"Random House, New York, 1965 -",1
"Contained in: ""Three Modern Indian Plays"" published by Oxford University Press India 1990",1
"(Scottish Plays No. 18). Brown, Son & Ferguson. N.D., -",1
"(Scottish Plays No. 200). Brown, Son & Ferguson. N.D., -",1
"D R Godine 1976 -",1
"Contained in: ""Arab Stages volume Two Number Two"" Spring 2015",1
"athenaeum, New York, 1968 -",1
"Oberon Books",9
"in Plays of Three Decades, Atheneum, NY, 1968",1
"Pluto Press, London, 1980 -",1
"in the Best Ten-Minute Plays 2011, Smith & Kraus; (June 1, 2012)",2
"in ""Here and Now Project: July"", http://www.indietheaternow.com/Plays -",2
"in A Touch Of the Dutch, plays by women. ed. Cheryl Robson, Aurora Metro Press, London, U,",1
"Department of Performing arts, University of Ilorin, Nigeria., 2005 -",3
"Act I appears in the June 1977 edition of Theatre Australia and Act II in the July 1977 edition of Theatre Australia -",1
"Kindle; Damora Books 2014 -",1
"Heinemann educational Australia, 1981",1
"(Scottish Plays No. 196). Brown, Son & Ferguson. N.D., -",1
"Faber and Faber, London, 1990 -",1
"Originally published as Humulus le Muet copyright Editions de la Table Ronde,",1
"York theatre presents a new look at this entertainment based on the works of the prolific and influential absurdist playwright Eugene Ionesco, famous for his plays the Bald Soprano, Rhinoceros, the Chairs and exit the King (which recently enjoyed a hit revival on Broadway). Plays, playlets, and poetry by this Master of the Absurd transport us into a zany musical vaudeville, where humor is the antidote to the world's realities. -",1
"Contained in: ""Makers of Modern theater"" published by McGraw-Hill 1961 -",1
"Nick Hern Books Drama Classics, London , 2007",2
"Josef Weinberger -",1
