LEVEL,RULE,RULETEXT,FILENAME,LOCATION
error,no-unsafe-return,Unsafe return of a value of type `any`,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,60:9
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,63:11
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,68:11
error,require-await,Async arrow function has no 'await' expression,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,81:46
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,139:68
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,150:61
error,prefer-regexp-exec,Use the `RegExp#exec()` method instead,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,167:31
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/AdaptationsList.ts,168:30
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,1:1
warning,import/order,`playwright` type import should occur after type import of `#/db-types/play/play.types`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,2:1
warning,no-unused-vars,'ScrapedPlayData' is defined but never used,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,3:15
error,no-unsafe-assignment,Unsafe assignment of type `any[]` to a variable of type `ScrapedPlayData[]`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,13:5
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,22:11
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,25:63
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,26:39
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,27:39
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `string`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,28:42
error,no-unsafe-member-access,Unsafe member access .genres on an `any` value,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,28:47
error,no-unsafe-return,Unsafe return of a value of type `any`,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,30:9
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,31:11
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,32:11
error,no-unsafe-assignment,Unsafe assignment of an `any` value,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,34:11
error,require-await,Async arrow function has no 'await' expression,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,46:46
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,88:60
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,90:65
error,prefer-regexp-exec,Use the `RegExp#exec()` method instead,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,107:20
error,prefer-regexp-exec,Use the `RegExp#exec()` method instead,#/src/page-models/ProfilePage/WorksList/PlaysList.ts,117:34
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,3:1
warning,import/order,`#/utils/isbnUtils` import should occur before import of `#/utils/stringUtils`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,3:1
warning,import/order,`#/db-types/play/play.types` type import should occur before type import of `playwright`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,4:1
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,6:6
error,consistent-type-definitions,Use an `interface` instead of a `type`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,7:6
warning,no-explicit-any,Unexpected any. Specify a different type,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,51:41
error,no-unsafe-return,Unsafe return of a value of type `any[]`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,52:5
warning,no-explicit-any,Unexpected any. Specify a different type,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,53:29
error,no-unsafe-argument,Unsafe argument of type `any` assigned to a parameter of type `{ [s: string]: unknown; } | ArrayLike<unknown>`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,54:49
error,no-unsafe-member-access,Unsafe member access [key] on an `any` value,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,56:26
error,no-unsafe-member-access,Unsafe member access [key] on an `any` value,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,58:26
error,no-unsafe-return,Unsafe return of a value of type `any`,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,61:7
error,no-inferrable-types,"Type string trivially inferred from a string literal, remove type annotation",#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,136:24
error,no-useless-escape,Unnecessary escape character: \-,#/src/page-models/ProfilePage/WorksList/__BaseWorksList.ts,137:41
warning,import/order,There should be no empty line within import group,#/src/page-models/__BasePage.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/page-models/__BasePage.ts,3:1
warning,import/order,`#/types` type import should occur before type import of `playwright`,#/src/page-models/__BasePage.ts,3:1
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/page-models/__BasePage.ts,90:5
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/page-models/__BasePage.ts,97:9
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/page-models/__BasePage.ts,105:9
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/page-models/__BasePage.ts,112:9
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/page-models/__BasePage.ts,115:7
warning,no-console,"Unexpected console statement. Only these console methods are allowed: warn, error",#/src/page-models/__BasePage.ts,116:7
error,restrict-template-expressions,Invalid type "unknown" of template literal expression,#/src/page-models/__BasePage.ts,116:32
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/__BasePage.ts,127:62
error,prefer-nullish-coalescing,Prefer using nullish coalescing operator (`??`) instead of a logical or (`||`), as it is a safer operator,#/src/page-models/__BasePage.ts,138:69
warning,import/order,`#/core/Config` import should occur before import of `#/core/DatabaseService`,#/src/scripts/init-db.ts,2:1
warning,import/order,There should be at least one empty line between import groups,#/src/scripts/main/ProgressDisplay.ts,1:1
warning,import/order,There should be at least one empty line between import groups,#/src/scripts/main/ProgressDisplay.ts,4:1
